d,o,h,l,c
1704808140,46762.0,46797.0,46762.0,46797.0
1704808200,46800.0,46809.0,46761.0,46761.0
1704808260,46763.0,46874.0,46763.0,46847.0
1704808320,46855.0,46958.0,46826.0,46933.0
1704808380,46931.0,47054.0,46904.0,46994.0
1704808440,46980.0,46980.0,46919.0,46936.0
1704808500,46921.0,46923.0,46855.0,46868.0
1704808560,46862.0,46886.0,46796.0,46811.0
1704808620,46811.0,46837.0,46811.0,46830.0
1704808680,46808.0,46820.0,46787.0,46820.0
1704808740,46815.0,46885.0,46815.0,46862.0
1704808800,46858.0,46874.0,46814.0,46870.0
1704808860,46868.0,46963.0,46868.0,46963.0
1704808920,46961.0,47025.0,46954.0,46985.0
1704808980,46942.0,46942.0,46827.0,46827.0
1704809040,46842.0,46885.0,46820.0,46885.0
1704809100,46891.0,46930.0,46887.0,46887.0
1704809160,46901.0,46913.0,46873.0,46913.0
1704809220,46887.0,46929.0,46808.0,46879.0
1704809280,46885.0,46885.0,46791.0,46810.0
1704809340,46805.0,46857.0,46805.0,46853.0
1704809400,46860.0,46868.0,46796.0,46796.0
1704809460,46803.0,46810.0,46786.0,46786.0
1704809520,46798.0,46854.0,46798.0,46834.0
1704809580,46860.0,46862.0,46843.0,46846.0
1704809640,46849.0,46867.0,46833.0,46867.0
1704809700,46853.0,46853.0,46729.0,46772.0
1704809760,46773.0,46773.0,46706.0,46706.0
1704809820,46720.0,46729.0,46709.0,46709.0
1704809880,46724.0,46745.0,46724.0,46745.0
1704809940,46731.0,46745.0,46731.0,46744.0
1704810000,46746.0,46779.0,46746.0,46762.0
1704810060,46769.0,46825.0,46735.0,46825.0
1704810120,46818.0,46844.0,46782.0,46842.0
1704810180,46828.0,46843.0,46817.0,46835.0
1704810240,46829.0,46841.0,46800.0,46802.0
1704810300,46782.0,46789.0,46770.0,46772.0
1704810360,46743.0,46753.0,46695.0,46743.0
1704810420,46737.0,46765.0,46735.0,46735.0
1704810480,46730.0,46743.0,46722.0,46722.0
1704810540,46725.0,46796.0,46723.0,46769.0
1704810600,46774.0,46790.0,46742.0,46742.0
1704810660,46729.0,46734.0,46694.0,46703.0
1704810720,46695.0,46704.0,46678.0,46704.0
1704810780,46718.0,46744.0,46718.0,46729.0
1704810840,46713.0,46725.0,46706.0,46712.0
1704810900,46700.0,46709.0,46684.0,46695.0
1704810960,46692.0,46692.0,46650.0,46650.0
1704811020,46686.0,46695.0,46662.0,46695.0
1704811080,46673.0,46719.0,46647.0,46718.0
1704811140,46717.0,46735.0,46713.0,46735.0
1704811200,46720.0,46720.0,46699.0,46703.0
1704811260,46712.0,46722.0,46694.0,46694.0
1704811320,46713.0,46713.0,46672.0,46689.0
1704811380,46655.0,46657.0,46655.0,46657.0
1704811440,46648.0,46648.0,46610.0,46622.0
1704811500,46618.0,46630.0,46605.0,46614.0
1704811560,46605.0,46658.0,46577.0,46658.0
1704811620,46634.0,46666.0,46624.0,46653.0
1704811680,46701.0,46706.0,46689.0,46695.0
1704811740,46688.0,46688.0,46667.0,46668.0
1704811800,46667.0,46672.0,46626.0,46626.0
1704811860,46643.0,46684.0,46615.0,46684.0
1704811920,46678.0,46753.0,46674.0,46753.0
1704811980,46755.0,46781.0,46755.0,46773.0
1704812040,46789.0,46789.0,46713.0,46713.0
1704812100,46713.0,46713.0,46566.0,46571.0
1704812160,46573.0,46650.0,46555.0,46619.0
1704812220,46615.0,46629.0,46527.0,46568.0
1704812280,46565.0,46622.0,46554.0,46622.0
1704812340,46643.0,46643.0,46574.0,46587.0
1704812400,46569.0,46594.0,46560.0,46594.0
1704812460,46567.0,46567.0,46495.0,46495.0
1704812520,46493.0,46561.0,46482.0,46510.0
1704812580,46518.0,46534.0,46518.0,46534.0
1704812640,46534.0,46539.0,46497.0,46522.0
1704812700,46523.0,46528.0,46459.0,46468.0
1704812760,46470.0,46525.0,46470.0,46525.0
1704812820,46508.0,46508.0,46465.0,46475.0
1704812880,46520.0,46542.0,46510.0,46541.0
1704812940,46544.0,46544.0,46520.0,46520.0
1704813000,46524.0,46543.0,46519.0,46538.0
1704813060,46538.0,46600.0,46530.0,46600.0
1704813120,46626.0,46664.0,46626.0,46652.0
1704813180,46645.0,46652.0,46600.0,46600.0
1704813240,46594.0,46594.0,46581.0,46594.0
1704813300,46585.0,46661.0,46577.0,46661.0
1704813360,46648.0,46718.0,46648.0,46718.0
1704813420,46727.0,46734.0,46708.0,46724.0
1704813480,46724.0,46750.0,46714.0,46750.0
1704813540,46752.0,46760.0,46742.0,46752.0
1704813600,46744.0,46744.0,46718.0,46727.0
1704813660,46725.0,46754.0,46725.0,46747.0
1704813720,46745.0,46763.0,46736.0,46739.0
1704813780,46739.0,46803.0,46739.0,46798.0
1704813840,46807.0,46811.0,46780.0,46795.0
1704813900,46776.0,46800.0,46766.0,46780.0
1704813960,46766.0,46767.0,46708.0,46714.0
1704814020,46721.0,46739.0,46718.0,46722.0
1704814080,46713.0,46720.0,46713.0,46720.0
1704814140,46729.0,46730.0,46729.0,46730.0
1704814200,46757.0,46802.0,46749.0,46760.0
1704814260,46770.0,46784.0,46757.0,46781.0
1704814320,46797.0,46797.0,46768.0,46768.0
1704814380,46776.0,46854.0,46771.0,46854.0
1704814440,46836.0,46836.0,46821.0,46821.0
1704814500,46855.0,46869.0,46840.0,46849.0
1704814560,46869.0,46896.0,46849.0,46896.0
1704814620,46926.0,46926.0,46912.0,46919.0
1704814680,46929.0,46948.0,46929.0,46933.0
1704814740,46928.0,46946.0,46891.0,46946.0
1704814800,46948.0,46986.0,46942.0,46962.0
1704814860,46990.0,46990.0,46967.0,46986.0
1704814920,46979.0,47021.0,46974.0,47005.0
1704814980,47003.0,47021.0,46782.0,46908.0
1704815040,46970.0,46988.0,46935.0,46978.0
1704815100,46965.0,46965.0,46894.0,46904.0
1704815160,46904.0,46904.0,46844.0,46877.0
1704815220,46928.0,46939.0,46889.0,46911.0
1704815280,46891.0,46900.0,46881.0,46883.0
1704815340,46858.0,46870.0,46853.0,46853.0
1704815400,46844.0,46846.0,46833.0,46846.0
1704815460,46833.0,46833.0,46700.0,46801.0
1704815520,46789.0,46809.0,46765.0,46786.0
1704815580,46795.0,46832.0,46791.0,46832.0
1704815640,46841.0,46841.0,46808.0,46827.0
1704815700,46834.0,46883.0,46834.0,46883.0
1704815760,46859.0,46946.0,46854.0,46914.0
1704815820,46894.0,46925.0,46890.0,46905.0
1704815880,46923.0,46932.0,46880.0,46880.0
1704815940,46908.0,46908.0,46873.0,46873.0
1704816000,46943.0,46943.0,46910.0,46910.0
1704816060,46882.0,46882.0,46859.0,46859.0
1704816120,46860.0,46864.0,46854.0,46854.0
1704816180,46849.0,46869.0,46849.0,46862.0
1704816240,46873.0,46875.0,46858.0,46874.0
1704816300,46874.0,46874.0,46838.0,46842.0
1704816360,46842.0,46842.0,46806.0,46830.0
1704816420,46820.0,46835.0,46784.0,46804.0
1704816480,46804.0,46804.0,46804.0,46804.0
1704816540,46818.0,46863.0,46818.0,46840.0
1704816600,46856.0,46856.0,46813.0,46816.0
1704816660,46832.0,46952.0,46832.0,46951.0
1704816720,46934.0,46934.0,46870.0,46890.0
1704816780,46899.0,46929.0,46870.0,46929.0
1704816840,46928.0,46945.0,46927.0,46944.0
1704816900,46938.0,46965.0,46935.0,46960.0
1704816960,46963.0,46996.0,46963.0,46996.0
1704817020,46989.0,46989.0,46918.0,46927.0
1704817080,46900.0,46919.0,46896.0,46896.0
1704817140,46890.0,46904.0,46890.0,46903.0
1704817200,46902.0,46923.0,46841.0,46841.0
1704817260,46846.0,46846.0,46809.0,46809.0
1704817320,46861.0,46873.0,46858.0,46873.0
1704817380,46871.0,46885.0,46859.0,46859.0
1704817440,46854.0,46909.0,46854.0,46905.0
1704817500,46904.0,46944.0,46904.0,46926.0
1704817560,46901.0,46901.0,46857.0,46867.0
1704817620,46865.0,46889.0,46849.0,46849.0
1704817680,46850.0,46850.0,46824.0,46824.0
1704817740,46817.0,46818.0,46801.0,46810.0
1704817800,46812.0,46852.0,46782.0,46852.0
1704817860,46843.0,46843.0,46782.0,46782.0
1704817920,46779.0,46810.0,46755.0,46809.0
1704817980,46820.0,46859.0,46761.0,46761.0
1704818040,46852.0,46857.0,46838.0,46851.0
1704818100,46826.0,46868.0,46820.0,46859.0
1704818160,46849.0,46865.0,46837.0,46864.0
1704818220,46875.0,46912.0,46875.0,46887.0
1704818280,46888.0,46905.0,46880.0,46905.0
1704818340,46903.0,46903.0,46890.0,46890.0
1704818400,46889.0,46889.0,46838.0,46839.0
1704818460,46846.0,46868.0,46837.0,46857.0
1704818520,46838.0,46838.0,46793.0,46806.0
1704818580,46819.0,46845.0,46819.0,46845.0
1704818640,46849.0,46866.0,46848.0,46866.0
1704818700,46864.0,46872.0,46858.0,46872.0
1704818760,46873.0,46890.0,46871.0,46887.0
1704818820,46879.0,46879.0,46841.0,46841.0
1704818880,46838.0,46838.0,46814.0,46824.0
1704818940,46823.0,46827.0,46806.0,46827.0
1704819000,46828.0,46842.0,46810.0,46832.0
1704819060,46841.0,46841.0,46812.0,46822.0
1704819120,46813.0,46843.0,46808.0,46833.0
1704819180,46827.0,46857.0,46823.0,46849.0
1704819240,46857.0,46864.0,46854.0,46863.0
1704819300,46863.0,46922.0,46853.0,46893.0
1704819360,46931.0,46961.0,46926.0,46944.0
1704819420,46947.0,46947.0,46929.0,46939.0
1704819480,46934.0,46934.0,46918.0,46921.0
1704819540,46911.0,46930.0,46911.0,46923.0
1704819600,46919.0,46934.0,46919.0,46923.0
1704819660,46922.0,46922.0,46845.0,46846.0
1704819720,46862.0,46862.0,46825.0,46843.0
1704819780,46850.0,46880.0,46850.0,46860.0
1704819840,46883.0,46889.0,46874.0,46879.0
1704819900,46875.0,46889.0,46875.0,46889.0
1704819960,46883.0,46891.0,46832.0,46832.0
1704820020,46847.0,46847.0,46807.0,46815.0
1704820080,46814.0,46833.0,46801.0,46819.0
1704820140,46829.0,46829.0,46816.0,46817.0
1704820200,46816.0,46816.0,46800.0,46803.0
1704820260,46804.0,46820.0,46801.0,46801.0
1704820320,46804.0,46844.0,46804.0,46820.0
1704820380,46831.0,46848.0,46816.0,46832.0
1704820440,46822.0,46822.0,46806.0,46810.0
1704820500,46788.0,46796.0,46763.0,46763.0
1704820560,46789.0,46801.0,46783.0,46784.0
1704820620,46787.0,46809.0,46783.0,46803.0
1704820680,46794.0,46855.0,46794.0,46847.0
1704820740,46835.0,46855.0,46825.0,46834.0
1704820800,46820.0,46820.0,46795.0,46795.0
1704820860,46795.0,46795.0,46779.0,46791.0
1704820920,46804.0,46848.0,46802.0,46848.0
1704820980,46849.0,46923.0,46849.0,46918.0
1704821040,46907.0,46907.0,46866.0,46866.0
1704821100,46856.0,46877.0,46856.0,46865.0
1704821160,46872.0,46872.0,46852.0,46854.0
1704821220,46848.0,46857.0,46832.0,46832.0
